id,code,icao,city,region,runways,elev,lat,lon,desc
1,ATL,KATL,Atlanta,US-GA,5,1026,33.6366996765137,-84.4281005859375,Hartsfield - Jackson Atlanta International Airport
2,ANC,PANC,Anchorage,US-AK,3,151,61.1744003295898,-149.996002197266,Anchorage Ted Stevens
3,AUS,KAUS,Austin,US-TX,2,542,30.1944999694824,-97.6698989868164,Austin Bergstrom International Airport
4,BNA,KBNA,Nashville,US-TN,4,599,36.1245002746582,-86.6781997680664,Nashville International Airport
5,BOS,KBOS,Boston,US-MA,6,19,42.36429977,-71.00520325,Boston Logan
6,BWI,KBWI,Baltimore,US-MD,3,143,39.17539978,-76.66829681,Baltimore/Washington International Airport
7,DCA,KDCA,Washington D.C.,US-DC,3,14,38.8521003723145,-77.0376968383789,Ronald Reagan Washington National Airport
8,DFW,KDFW,Dallas,US-TX,7,607,32.896800994873,-97.0380020141602,Dallas/Fort Worth International Airport
9,FLL,KFLL,Fort Lauderdale,US-FL,2,64,26.0725994110107,-80.152702331543,Fort Lauderdale/Hollywood International Airport
10,IAD,KIAD,Washington D.C.,US-VA,4,313,38.94449997,-77.45580292,Washington Dulles International Airport
11,IAH,KIAH,Houston,US-TX,5,96,29.9843997955322,-95.3414001464844,George Bush Intercontinental
12,JFK,KJFK,New York,US-NY,4,12,40.63980103,-73.77890015,New York John F. Kennedy International Airport
13,LAX,KLAX,Los Angeles,US-CA,4,127,33.94250107,-118.4079971,Los Angeles International Airport
14,LGA,KLGA,New York,US-NY,2,20,40.77719879,-73.87259674,New York La Guardia
15,MCO,KMCO,Orlando,US-FL,4,96,28.4293994903564,-81.3089981079102,Orlando International Airport
16,MIA,KMIA,Miami,US-FL,4,8,25.7931995391846,-80.2906036376953,Miami International Airport
17,MSP,KMSP,Minneapolis,US-MN,4,841,44.8819999695,-93.2218017578,Minneapolis-St.Paul International Airport
18,ORD,KORD,Chicago,US-IL,7,672,41.97859955,-87.90480042,Chicago O'Hare International Airport
19,PBI,KPBI,West Palm Beach,US-FL,3,19,26.6832008361816,-80.0955963134766,Palm Beach International Airport
20,PHX,KPHX,Phoenix,US-AZ,3,1135,33.4342994689941,-112.012001037598,Phoenix Sky Harbor International Airport
21,RDU,KRDU,Raleigh,US-NC,3,435,35.8776016235352,-78.7874984741211,Raleigh-Durham
22,SEA,KSEA,Seattle,US-WA,3,432,47.4490013122559,-122.30899810791,Seattle-Tacoma
23,SFO,KSFO,San Francisco,US-CA,4,13,37.6189994812012,-122.375,San Francisco International Airport
24,SJC,KSJC,San Jose,US-CA,3,62,37.3625984191895,-121.929000854492,Norman Y. Mineta San Jose International Airport
25,TPA,KTPA,Tampa,US-FL,3,26,27.9755001068115,-82.533203125,Tampa International Airport
26,SAN,KSAN,San Diego,US-CA,1,16,32.7336006165,-117.190002441,San Diego Lindbergh
27,LGB,KLGB,Long Beach,US-CA,3,60,33.81769943,-118.1520004,Long Beach Airport
28,SNA,KSNA,Santa Ana,US-CA,2,56,33.67570114,-117.8679962,"Orange County/Santa Ana, John Wayne"
29,SLC,KSLC,Salt Lake City,US-UT,4,56,40.7883987426758,-111.977996826172,Salt Lake City
30,LAS,KLAS,Las Vegas,US-NV,4,2181,36.08010101,-115.1520004,Las Vegas Mc Carran
31,DEN,KDEN,Denver,US-CO,6,5433,39.8616981506348,-104.672996520996,Denver International Airport
32,HPN,KHPN,White Plains,US-NY,2,439,41.0670013427734,-73.7076034545898,Westchester County
33,SAT,KSAT,San Antonio,US-TX,3,809,29.5337009429932,-98.4698028564453,San Antonio
34,MSY,KMSY,New Orleans,US-LA,2,3,29.9934005737305,-90.2580032348633,New Orleans L. Armstrong
35,EWR,KEWR,Newark,US-NY,3,17,40.6925010681152,-74.168701171875,"Newark, Liberty"
36,CID,KCID,Cedar Rapids,US-IA,2,869,41.8847007751465,-91.7108001708984,The Eastern Iowa Airport
37,HNL,PHNL,Honolulu,US-HI,4,13,21.3187007904053,-157.921997070312,Honolulu International Airport
38,HOU,KHOU,Houston,US-TX,4,46,29.64539909,-95.27890015,Houston Hobby
39,ELP,KELP,El Paso,US-TX,3,3961,31.80719948,-106.3779984,El Paso International Airport
41,CLE,KCLE,Cleveland,US-OH,3,799,41.4117012024,-81.8498001099,"Cleveland, Hopkins International Airport"
42,OAK,KOAK,Oakland,US-CA,4,9,37.7212982177734,-122.221000671387,Oakland
43,TUS,KTUS,Tucson,US-AZ,3,2643,32.1161003112793,-110.94100189209,Tucson International Airport
44,SAF,KSAF,Santa Fe,US-NM,3,6348,35.617099762,-106.088996887,Santa Fe
45,PHL,KPHL,Philadelphia,US-PA,4,36,39.871898651123,-75.241096496582,Philadelphia International Airport
46,DTW,KDTW,Detroit,US-MI,6,645,42.2123985290527,-83.353401184082,"Detroit Metropolitan, Wayne County"
83,RSW,KRSW,Fort Myers,US-FL,1,30,26.5361995697021,-81.7552032470703,Southwest Florida International Airport
138,TLH,KTLH,Tallahassee,US-FL,2,81,30.3964996337891,-84.3503036499023,Tallahassee Regional Airport
147,PIT,KPIT,Pittsburgh,US-PA,4,1203,40.49150085,-80.23290253,Pittsburgh International Airport
148,PWM,KPWM,Portland,US-ME,2,76,43.64619827,-70.30930328,Portland International Jetport Airport
149,PDX,KPDX,Portland,US-OR,3,31,45.58869934,-122.5979996,Portland International Airport
150,OKC,KOKC,Oaklahoma City,US-OK,4,1295,35.3931007385254,-97.600700378418,"Oaklahoma City, Will Rogers World Airport"
151,ONT,KONT,Ontario,US-CA,2,944,34.0559997558594,-117.600997924805,Ontario International Airport
152,ROC,KROC,Rochester,US-NY,3,559,43.1189002990723,-77.6724014282227,Greater Rochester International Airport
153,RST,KRST,Rochester,US-MN,2,1317,43.9082984924316,-92.5,Rochester International Airport
159,FAI,PAFA,Fairbanks,US-AK,4,439,64.81510162,-147.8560028,Fairbanks International Airport
178,CLT,KCLT,Charlotte,US-NC,4,748,35.2140007019043,-80.9430999755859,Charlotte Douglas International Airport
181,PSP,KPSP,Palm Springs,US-CA,2,477,33.8297004699707,-116.50700378418,Palm Springs International Airport
182,MEM,KMEM,Memphis,US-TN,4,341,35.0424003601074,-89.9766998291016,Memphis International Airport
183,CVG,KCVG,Cincinnati,US-KY,4,896,39.0488014221,-84.6678009033,Cincinnati Northern Kentucky International Airport
184,IND,KIND,Indianapolis,US-IN,3,797,39.7173004150391,-86.2944030761719,Indianapolis International Airport
185,MCI,KMCI,Kansas City,US-MO,3,1026,39.2975997924805,-94.7138977050781,Kansas City International Airport
186,DAL,KDAL,Dallas,US-TX,3,487,32.8470993041992,-96.8517990112305,Dallas Love Field
