from,to,dist
1,3,809
1,4,214
1,5,945
1,6,576
1,7,546
1,8,729
1,9,581
1,10,533
1,11,688
1,12,759
1,13,1941
1,14,761
1,15,404
1,16,596
1,17,906
1,18,606
1,19,546
1,20,1580
1,21,356
1,22,2180
1,23,2130
1,24,2110
1,25,406
1,26,1890
1,27,2460
1,28,1910
1,29,1590
1,30,1740
1,31,1200
1,32,780
1,33,872
1,34,424
1,35,745
1,36,694
1,37,4502
1,38,693
1,39,1279
1,41,556
1,42,2124
1,43,1540
1,45,667
1,46,596
2,8,3030
2,11,3260
2,13,2340
2,17,2519
2,18,2840
2,20,2547
2,22,1440
2,23,2010
2,27,2360
2,30,2304
2,31,2400
2,37,2778
3,1,809
3,4,755
3,5,1690
3,6,1339
3,7,1313
3,8,190
3,9,1110
3,10,1294
3,11,142
3,12,1520
3,13,1230
3,15,994
3,16,1101
3,17,1040
3,18,973
3,20,866
3,21,1159
3,22,1768
3,23,1500
3,24,1476
3,25,925
3,26,1160
3,27,1220
3,28,1206
3,29,1080
3,30,1080
3,31,768
3,33,66
3,37,3755
3,34,444
3,35,1500
3,38,152
3,39,527
3,41,1173
3,42,1493
3,43,795
3,45,1430
3,46,1140
4,1,214
4,3,755
4,5,939
4,6,586
4,7,560
4,8,630
4,9,793
4,10,540
4,11,657
4,12,763
4,13,1790
4,14,762
4,15,616
4,16,806
4,17,694
4,18,409
4,20,1444
4,21,441
4,22,1972
4,23,1963
4,25,612
4,26,1746
4,29,1400
4,30,1582
4,31,1010
4,33,820
4,34,471
4,35,745
4,36,481
4,38,669
4,41,448
4,42,1953
4,45,674
4,46,456
5,1,945
5,3,1690
5,4,939
5,6,368
5,7,398
5,8,1560
5,9,1240
5,10,411
5,11,1590
5,12,186
5,13,2600
5,14,184
5,15,1120
5,16,1260
5,17,1120
5,18,863
5,19,1200
5,20,2290
5,21,612
5,22,2490
5,23,2700
5,24,2680
5,25,1180
5,26,2580
5,27,2590
5,29,2100
5,30,2370
5,31,1750
5,32,166
5,34,1370
5,35,200
5,37,5083
5,38,1610
5,41,560
5,42,2680
5,45,278
5,46,629
6,1,577
6,4,586
6,5,368
6,8,1210
6,9,925
6,11,1230
6,12,184
6,13,2320
6,15,788
6,16,947
6,17,936
6,18,620
6,19,885
6,20,1999
6,21,255
6,22,2335
6,23,2450
6,24,2431
6,25,842
6,26,2295
6,29,1865
6,3,1339
6,30,2106
6,31,1490
6,33,1410
6,34,998
6,35,169
6,38,1240
6,41,313
6,42,2440
6,45,91
6,46,408
7,1,547
7,3,1313
7,4,560
7,5,398
7,8,1190
7,9,899
7,11,1210
7,12,213
7,13,2300
7,14,214
7,15,760
7,16,921
7,17,931
7,18,610
7,19,859
7,21,226
7,22,2320
7,23,2434
7,25,815
7,26,2276
7,30,2089
7,31,1470
7,32,233
7,34,969
7,35,199
7,38,1220
7,45,120
7,41,309
7,46,405
8,1,729
8,2,3030
8,3,190
8,4,630
8,5,1560
8,6,1210
8,7,1190
8,9,1120
8,10,1170
8,11,225
8,12,1390
8,13,1230
8,14,1390
8,15,983
8,16,1120
8,17,852
